Bottles,SetBlue,SetGreen,Add,Blue,Green,Free,Availability,Performance,Quality,OEE,Time,CalcOEE
20,10,10,0,10,8,2,83,70.5,90.0,63.5,,
30,15,15,0,15,13,2,83,60.9,93.3,56.8,,
40,20,20,0,20,17,3,83,60.6,92.5,56.0,,
50,25,25,0,25,20,5,83,58.9,90.0,53.0,,
60,30,30,0,30,26,4,83,60.9,93.3,56.8,,
70,35,35,0,35,31,4,83,61.6,94.3,58.0,,
80,40,40,0,40,35,5,83,61.2,93.8,57.4,,
90,45,45,0,45,40,5,83,61.6,94.4,58.1,,
100,50,50,0,51,43,6,83,60.9,94.0,57.2,,
110,55,55,0,56,47,7,83,60.6,93.6,56.7,,
